Keyword,Year,Month,Day,Hour
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
ebola,2018,12,2,18
headache,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
flu,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
flu,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
flu,2018,12,2,19
trump,2018,12,2,19
flu,2018,12,2,19
flu,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
flu,2018,12,2,19
flu,2018,12,2,19
flu,2018,12,2,19
trump,2018,12,2,19
trump,2018,12,2,19
